Name,Metric Units,US Units,Notes
,,,
,,,
Almonds,g,lbm,
"Bamboo shoots, canned",cans,,10oz can
Basmati Rice,kg,lbm,
Ambe Mor Rice,kg,lbm,
Besan,kg,lbm,
Black Beans,kg,lbm,
Black Chana,kg,lbm,
Black urad split dal,kg,lbm,
Cannellini beans,kg,lbm,"dry, not canned"
Cashews,g,lbm,
Chana dal,kg,lbm,
Chickpea can,cans,,
Chickpeas,kg,lbm,
Coconut milk,cans,,"13.5floz or 400ml cans.  If you get larger cans, reduce the quantity appropriately.  Large quantity available at https://www.webstaurantstore.com/chaokoh-unsweetened-coconut-milk-10-can-case/115CHAOKBULK.html"
Cream of rice,kg,lbm,
Crushed tomatoes,kg,lbm,canned
Fire Roasted Tomatoes,kg,lbm,https://www.samsclub.com/p/hunts-fire-roasted-diced-tomatoes-8-pk/prod25810858
Dry coconut slices,g,lbm,
Green Mung dal,kg,lbm,
Idli Rava,kg,lbm,
Jasmine Rice,kg,lbm,
Kerala Matta Rice,kg,lbm,
Marinara sauce,kg,lbm,
Masoor dal,kg,lbm,
Moth (Matki),kg,lbm,
Mung Dal,kg,lbm,
Olives (pitted),kg,lbm,
Orecchiette pasta,kg,lbm,
Pecans,g,lbm,
Quinoa,kg,lbm,
Raisins,g,lbm,
Rajma,kg,lbm,
Roasted daliya,kg,lbm,https://www.amazon.com/Dalia-Split-Roasted-Chick-Peas/dp/B004YKSM8Y
Rolled Oats,kg,lbm,Organic please (or glyphosate free).  https://www.webstaurantstore.com/bobs-red-mill-25-lb-organic-gluten-free-whole-grain-rolled-oats/1041992B25.html
Sona Masoori Rice,kg,lbm,hand pounded rice
Sunflower seeds,g,lbm,
Thick Poha,kg,lbm,
Tomato paste,g,lbm,canned
Toor Dal,kg,lbm,
Urad dal,kg,lbm,
Vermicelli,kg,lbm,https://www.amazon.com/Bambino-Vermicelli-800-Grams-gm/dp/B002EDX2N8
Whole black Urad Dal,kg,lbm,
Whole Green Mung,kg,lbm,
Whole wheat flour,kg,lbm,
Sooji,kg,lbm,
