Name,Metric Units,US Units,Notes
Amchur,g,lb,
Bisibhele Bhaat Masala,g,lb,MTR brand
Bay Leaf,g,lb,
Black pepper,g,lb,
Bouillon,g,lb,https://www.amazon.com/Better-Than-Bouillon-Seasoned-Vegetable/dp/B0B59D5VH8/ref=sr_1_1?crid=HJHQ7M2WF7Z4&keywords=better+than+bouillon+vegetable&qid=1707545716&sprefix=better+than+b%2Caps%2C247&sr=8-1
Cardamom,g,lb,
Chana masala,g,oz,
Chutney podi,g,lb,MTR brand
Cinnamon,g,lb,
Cloves,g,lb,
Coriander Powder,g,lb,
Coriander Seeds,g,lb,
Dry Ginger powder,g,lb,
Fennel,g,lb,
Fiesta Fajita seasoning,g,lb,
Garam masala,g,oz,
Goda masala,g,lb,anita get from india
Green curry paste,kg,lb,
Hing,g,lb,get gluten free if possible
Nutmeg (whole),g,lb,
Jaggery,kg,lb,jaggery powder please
Jeera,g,lb,
Jeera powder,g,lb,
Kasuri Methi,g,lb,
Lemon Juice Concentrate,l,gal,
Loose leaf tea,g,lb,
Methi seeds,g,lb,
Metkut,g,lb,
Mexican dried oregano,g,lb,
Mustard seeds,g,lb,
Oregano,g,lb,
Lemongrass,g,lb,
Red Chillies,g,lb,
Red Chilly Powder,g,lb,Kashmiri red chilly powder plz
Red curry paste,kg,lb,
Saffron,g,oz,
Salt,kg,lb,sea salt please
Sambar powder,g,lb,
Sesame seeds,g,lb,
Star Anise,g,lb,
Sugar,kg,lb,
Tamari,l,gal,
Tamarind,g,lb,
Chai Masala,g,oz,anita get from india
Tone's Cilantro Lime,g,lb,
Turmeric Powder,g,lb,
Soy Sauce,l,gal,
Rice Vinegar,l,gal,
Smoked paprika,g,lb,
Achaar masala,g,lb,
Fried Onion,g,lb,
