Name,Metric Units,US Units,Notes
Tindora,kg,lb,
Avocado medium,nos,,
Baby spinach,kg,lb,
Bhindi,kg,lb,
Bottle gourd,kg,lb,
Broccoli,kg,lb,
Butternut squash,kg,lb,
Cabbage,kg,lb,
Carrots,kg,lb,
Cauliflower,kg,lb,
Celery,kg,lb,
Chayote Squash,kg,lb,
Cilantro,bunch,,
Cucumber,kg,lb,
Curry Leaves,bunch,,
Drumstick,kg,lb,
Eggplant,kg,lb,small round indian
French Green Beans,kg,lb,
Garlic,g,lb,
Ginger,g,lb,
Gongura leaves,bunch,,
Green Beans,kg,lb,
Green bell pepper,kg,lb,
Green chillies,g,lb,"indian kind, not thai chillies"
Green Papaya,kg,lb,
Italian Basil,g,lb,fresh
Jalapeno,g,lb,
Long beans,kg,lb,
Mint,bunch,,
Onion,kg,lb,
Potato,kg,lb,Yukon gold potatoes please
Purple Cabbage,kg,lb,
Radish,kg,lb,
Red bell pepper,kg,lb,
Red pumpkin,kg,lb,
Romaine lettuce,kg,lb,
Snake gourd,kg,lb,
Spinach,kg,lb,
Spring Mix,kg,lb,
Thai basil,bunch,,
Tomatoes,kg,lb,
Zucchini,kg,lb,
Spring Onion,bunch,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
