Recipe,Cucumber Carrot Salad,,,,,,,,
Ingredients,,,,,,,,,
,Cucumber,750,g,,,,,,
,Carrots,750,g,,,,,,
,Cilantro,0.5,bunches,,,,,,
,Lemon juice concentrate,2,tbsp,,,,,,
,Black pepper,5,g,,,,,,
,Ginger,5,g,,,,,,
,Green Chillies,5,g,,,,,,
,Jeera powder,5,g,,,,,,
,Salt to Taste,,,,,,,,
Steps to Prepare,,,,,,,,,
1,Dice carrots and cucumbers into inch cubes ,,,,,,,,
2,Chop cilantro finely,,,,,,,,
3,"Mix carrots, cucumbers, cilantro,  and mix well. ",,,,,,,,
4,"Add lime juice, salt, black pepper, jeera powder just before serving",,,,,,,,
,,,,,,,,,
,,,,,,,,,
Recipe,Amritsari Chole,,,,,,,,
Ingredients,,,,,,,,,
,Chickpeas,3.0,cup,,,,,,
,Loose leaf tea,5,g,,,,,,
,Red chillies,5,g,,,,,,
,Cinnamon,2,g,,,,,,
,Black cardamom,2,g,,,,,,
,Bay leaf,2,g,,,,,,
,Baking Soda,0.1,g,,,,,,
,Mustard Oil,3,tbsp,,,,,,
,Sunflower Oil,3,tbsp,,,,,,
,Black cardamom,5,g,,,,,,
,Red Chillies,5,g,,,,,,
,Bay leaf,5,g,,,,,,
,Jeera,2,tsp,,,,,,
,Ginger,25,g,,,,,,
,Garlic,20,g,,,,,,
,Onion,350,g,,,,,,
,Turmeric powder,3,tsp,,,,,,
,Coriander Powder,6,tsp,,,,,,
,Red chilly powder,2,tsp,,,,,,
,Tomatoes,400,g,,,,,,
,Chole masala,3,tsp,,,,,,
,Cilantro,0.5,bunches,,,,,,
,,,,,,,,,
Steps to Prepare,,,,,,,,,
1,Important prep:  Rinse the chickpeas.  Add enough water and a little bit of baking soda.  Let it soak for at least 8-9 hours,,,,,,,,
2,Rinse the chikpeas before starting to cook.  Add fresh water to the chickpeas in a pot and salt to taste,,,,,,,,
3,"Make a potli of tea leaves, red chillies, cinnamon stick, cardamom and bay leaves and add it to the chickpeas and start to cook the chickpeas",,,,,,,,
4,Cook until the chole are nice and soft.  Okay to pressure cook or open pot if the quantity is large,,,,,,,,
5,For the gravy:,,,,,,,,
