Recipe,"Overnight Oats:  Tropical Sunrise (Mango, Coconut & Cashew)",,
Ingredients,,,
,,,
,Rolled Oats,2,cup
,Almonds,80,g
,Water,3,cup
,Alphonso mango pulp,1,cup
,Chia seeds,35,g
,Shredded coconut,20,g
,Cardamom,0.5,tsp
,Cashews,20,g
,Blueberries,200,g
,Maple Syrup,25,ml
,,,
Steps to Prepare,,,
1,Blend water and almonds together to a smooth milky consistency.  This is used in place of store brought almond milk,,
2,Then add 90% of the mango pulp and blend it all together.  Reserve the remaining mango pulp to drizzle on top before serving,,
3,Mix it with the oats and chia seeds to it and refrigerate overnight.  The liquid should be about twice the volume as the oats,,
4,in the morning the oats should have soaked the liquid and you should have a porridge consistency,,
5,"Garnish with cashews, shredded coconut and mango pulp drizzle.  Serve with a side of blueberries and maple syrup",,
,,,
Recipe,Rajma,,
Ingredients,,,
,Rajma,2,cup
,Jeera,2,tsp
,Sunflower Oil,2,tbs
,Ginger,10,g
,Garlic,10,g
,Onion,450,g
,Tomatoes,500,g
,Turmeric powder,2,tsp
,Red chilly powder,1,tsp
,Coriander powder,2,tsp
,Garam masala,2,tsp
,Cilantro,0.25,bunches
,Ginger,10,g
,Salt to taste,,
,,,
,,,
Steps to Prepare,,,
1,Soak: Rajma overnight.  Prep:  Chop onions.  Coarsely grind tomatoes.  Grind ginger garlic  green chilli into a paste.  Julienne ginger and chop cilantro for garnish,,
2,Boil : Add the required amount of water and salt and  boil the rajama until cooked properly.  If using a pressure cooker let it cook on slow flame,,
,for 15 minutes after the cooker is at full pressure,,
3,"Tempering : In a pan add oil.  When hot add jeera and saute until they crackle. Add coarsely ground green chilli, ginger and garlic paste and saute for a min",,
4,"Saute onion with Tumeric poweder, corander poweder,  and salt  until the onions turn light brown",,
5,Saute for a few mins then add tomatoes and saute it until the mixture starts to leave oil on the sides,,
6,Drain the liquid from the cooked rajma and reserve on the side.  Add rajma (without the cooking water) and fry the beans with the masala,,
7,Then add the reserved water.  Let it simmer on low flame for 10-15 minutes. Add garam masala at the end and remove from flame. ,,
8,Garnish it with Cilantro and ginger julienne,,
,,,
,,,
,,,
Recipe,Green Salad with Sesame Ginger Dressing,,
Ingredients,,,
,,,
,Tomatoes,100,g
,Cucumber,100,g
,Green Bell Pepper,100,g
,Sunflower seeds,50,g
,Romaine Lettuce,200,g
,Spring Mix,200,g
,Purple Cabbage,100,g
,Sesame seeds,5,tbs
,Rice vinegar,4,tbs
,Tamari,2,tbs
,Ginger,10,g
,Maple syrup,2,tsp
,Black pepper,1,tbs
,Salt to Taste,,
,,,
,,,
Steps to Prepare,,,
1,Need gloves when making salad.  Make sure gloves dont get cut when chopping by knife or food processor,,
2,Dressing: simply blend the ingredients in vitamix until smooth. Add water as needed,,
3,The dressing should be of a creamy consistency and it thickens slightly with time,,
4,Wash and drain the lettuce and let it dry.  Cut the lettuce into bite sized pieces.  Thinly slice the cabbage and onions.,,
5,"Cut the tomatoes, cucumbers and bell peppers into 1 inch cubes",,
6,"In a large bowl, add everything except dressing.",,
7,Just before serving drizzle the dressing over the salad bowl. Use 2 wooden spoons and toss until everything is evenly coated.,,
,,,
,,,
Recipe,Cauliflower potato sabzi (dry),,
Ingredients,,,
,Cauliflower,1,kg
,Potato,500,g
,Tomatoes,300,g
,Green Chillies,7,g
,Ginger,25,g
,Cilantro,0.5,bunches
,Onion,200,g
,Sunflower Oil,75,ml
,Jeera,2,tsp
,Red Chilly Powder,0.5,tsp
,Turmeric Powder,1,tsp
,Coriander powder,3,tsp
,Jeera powder,3,tsp
,Garam Masala,2,tsp
,,,
,Salt To taste,,
,,,
Steps to Prepare,,,
1,To be made in batches,,
2,Cut potatoes in 1/2 inch long wedges.  Cut the cauliflower into medium florets (1-1.5 inches).   Make a rough paste of ginger and green chillies. Slice Onion and cut in half.  Finely chopped tomatoes.,,
3,"Heat the oil, once hot add jeera, turmeric.  Add ginger-chilly paste and onion and saute until onions are translucent. Add tomatoes and cook for a few mins. ",,
4,"Add turmeric, red chilly powder, coriander powder, salt and mix well",,
5,"When tomatoes get cooked and oil seperates, dd potatoes and mix.  Cover and let it cook for a few minutes until the potatoes are about 50% done.  Add a splash of water to prevent potatoes from burning",,
6,"Add cauliflower, salt and mix.  Cover and cook on medium-high flame turning it occassionally so that it doesnt burn",,
7,Add garam masala once the cauliflower and potato are cooked and give it a good mix. ,,
8,Garnish with cilantro and serve,,
,,,
Recipe,Panchratna Dal,,
Ingredients,,,
,Mung Dal,1,cup
,Toor Dal,1,cup
,Urad Dal,0.2,cup
,Chana dal,0.2,cup
,Masoor dal,0.6,cup
,Onion,250,g
,Tomatoes,300,g
,Ginger,2,tsp
,Green chillies,10,g
,Red chillies,5,g
,Jeera,1,tsp
,bay leaf,1,g
,Red chilly powder,1,tsp
,Turmeric powder,1,tsp
,garam masala,0.5,tsp
,Sunflower oil,4,tbs
,Garam masala,1,tsp
,Lemon juice concentrate,2,tsp
,,,
Steps to Prepare,,,
1,Wash and soak the dal for 2 hours.  Boil on stovetop with 3x water and half the turmeric.  Keep stirring occassionally.  Remove from heat once fully cooked.,,
2,Finely chop the onions and tomatoes and keep aside.  Chop the cilantro.  Make green chilly-ginger paste.,,
3,"Heat the oil, add whole red chilli, green chilli jeera, bay leaf, hing.  Add ginger and then add chopped onion. ",,
4,Fry onion until translucent.  Add dry spices and mix.  Add chopped tomatoes and saute until the tomatoes are cooked and the mixture starts to release oil,,
5,Add the cooked dal to it and mix properly.  Let it simmer on low heat for 15-20 minutes stirring occassionally,,
6,"Switch off the flame, add lemon juice and garam masala and mix properly.  Garnish with cilantro before serving",,
,,,
,,,
Sliced Cucumber & Carrots,,,
Ingredients,,,
,Cucumber,300,g
,Carrots,300,g
,Black pepper,5,g
,Salt to taste,,
,,,
Steps to Prepare,,,
1,Always use gloves when making food that will be served raw!  Wash cucumbers and dry.  Wash carrots and peel them,,
2,Slice both through the food processor.  Add salt and pepper.  Cover and refrigerate until ready to serve,,
,,,
Recipe,Dal Tadka,,
Ingredients,,,
,,,
,Toor dal,2.5,cup
,Sunflower oil,1,tbs
,Ghee,2,tbs
,Jeera,2,tsp
,Hing,0.5,tsp
,Turmeric powder,1.5,tsp
,Red Chillies,2,g
,Cilantro,0.25,bunches
,Lemon juice concentrate,1,tbs
,Salt to taste,,
,,,
,,,
Steps to prepare,,,
1,Wash Toor dal and soak for 1-2 hours,,
2,Pressure Cook dal with turmeric and a little salt (1:3 water ratio) and then whisk it to mix it well,,
3,Take about 20% of the dal aside for vegan serving,,
4,"For the regular dal:  bring the dal to a boil and make a seasoning with ghee, jeera, hing, red chillies.  Add to the dal and mix",,
5,Add lemon juice and chopped cilantro and switch off the flame,,
6,For vegan dal follow the same process but make the seasoning with oil instead of ghee,,
,,,
,,,
Recipe,"Aloo, matar, tamatar dry subzi",,
Ingredients,,,
,,,
,Sunflower Oil,4,tbs
,Hing,0.5,tsp
,Jeera,1.5,tsp
,Green chillies,2,g
,Potato,1.2,kg
,Salt,to taste,
,Coriander powder,1,tbs
,Red chilly powder,0.5,tsp
,Peas,1,cup
,Tomatoes,100,g
,Jeera Powder,0.5,tsp
,,,
,,,
Steps to prepare,,,
1,Heat oil. Add hing and cumin seeds. Add chopped green chilly and potatoes. Saute on medium flame. Cover.,,
2,"Add salt, and continue to saute. Add a sprinkling of water (for it to cook faster).",,
3,Continue to saute and cover and cook - stirring intermittently - all on medium flame.,,
4,When potatoes are about half cooked add Coriander powder and chilly powder.,,
5,"Continue to cook and stir. Again, add a bit of water if needed.",,
6,"Add chopped coriander, frozen peas, and tomato.  Cover, cook, and saute till potatoes are done (should not be mushy)",,
7,Add Roasted cumin seed powder.,,
,,,
,,,
Recipe,Radish Salad,,
Ingredients,,,
,,,
,Radish,750,g
,Lemon Juice Concentrate,6,tsp
,Salt to taste,,
,Cilantro,0.5,bunches
,,,
,,,
Steps to Prepare,,,
1,Discard the top and bottom tip of the radishes and wash well,,
2,Peel their skins and grate them through a food processor (thicker shred),,
3,"Mix the grated radishes with salt, lime juice, and cilantro.  Serve",,
,,,
,,,
,,,
,,,
Recipe,Yellow Mung Dal Khichdi,,
Ingredients,,,
,,,
,Ambe mor rice,1.5,cup
,Mung dal,1.5,cup
,Water,12,cup
,Ginger,8,g
,Green Chillies,2,g
,Cloves,4,g
,Cinnamon,4,g
,Mustard seeds,1,tsp
,Jeera,2,tsp
,Hing,1,tsp
,Red Chillies,2,g
,Turmeric Powder,1,tsp
,Red chilly powder,1,tsp
,Coriander powder,2,tsp
,Jeera powder,1,tsp
,Sunflower Oil,2,tbs
,Lemon Juice Concentrate,2,tbs
,Spinach,0.5,bunches
,Salt,to taste,
,,,
Steps to Prepare,,,
1,Wash the rice and mung dal and leave aside,,
2,"Trim off the root end of the spinach bunch.  Wash by immersing in water, and removing it in a strainer",,
3,Chop the spinach in bite sized pieces,,
4,"Heat the oil.  Once warm add cloves and cinnamon and allow them to sizzle.  Add jeera, hing, red chillies, and turmeric.",,
5,Add washed dal and saute for 4-5 minutes.  Add water and let it cook on open flame on medium heat (once boiling),,
6,"Add coriander and jeera powder, and salt and mix well",,
7,"Once the rice and dal are cooked the consistency should be like a thick porridge, not dry.  Add water if needed",,
8,Finally add the lemon juice concentrate and spinach.  Mix well.  Cook until the spinach wilts slightly,,
9,Spinach should be bright green and not fully cooked.  Switch off the flame.  The remaining heat will cook the spinach ,,
10,Serve with ghee on the side,,
,,,
,,,
,,,
Recipe,Gujarati kadhi,,
Ingredients,,,
,,,
,Yogurt,3,cup
,Besan,0.5,cup
,Ginger,20,g
,Cilantro,0.5,bunches
,Green Chillies,3,g
,Ghee,55,ml
,Jeera,2,tsp
,Hing,0.5,tsp
,Methi seeds,1,tsp
,Cinnamon,3,g
,Cloves,1,g
,Curry leaves,0.5,packets
,red chillies,3,g
,Salt,to taste,
,Sugar,3,tsp
,Water,9,cup
,,,
Steps to Prepare,,,
1,"In a bowl whisk together the gram flour (besan), green chilly-ginger paste, yogurt, and salt with water",,
2,Beat to a smooth mixture without any lumps.,,
3,"In a saucepan heat ghee, add methi seeds, cumin seeds, cinnamon, cloves, hing, red chillies and curry leaves",,
4,Add the yogurt-water mixture which we had prepared earlier. Stir and mix well.,,
5,Bring it to a boil on medium-low to medium heat stirring occassionally so the mixture doesnt separate,,
6,Continue to simmer until the raw taste of besan is gone and the kadhi thickens.  Add sugar and mix till it dissolves,,
7,Garnish with chopped cilantro before serving,,
,,,
,,,
,,,
Recipe,Cucumber Tomato Carrot Salad,,
Ingredients,,,
,,,
,Cucumber,300,g
,Tomatoes,200,g
,Carrots,200,g
,Onion,55,g
,Cilantro,0.25,bunches
,Jeera Powder,1,tsp
,Salt,to taste,
,Lemon Juice Concentrate,2,tsp
,,,
,,,
Steps to Prepare,,,
1,"Finely chop cilantro, cut tomato, and cucumber in small cubes.  Grate the carrots in the food processor",,
2,"Mix all the ingredients above, add salt, jeera powder, and lemon juice concentrate and mix well",,
,,,
Recipe,"Drumstick, Plantain & Arbi sambar",,
Ingredients,,,
,Toor dal,1.75,cup
,Tamarind,40,g
,Sambar powder,3,tbs
,Turmeric powder,1,tsp
,Red chilly powder,1,tsp
,Cilantro,0.5,bunches
,Drumstick,225,g
,Plantain,225,g
,Arbi / Taro Root,75,g
,Tomatoes,75,g
,Sesame (Gingelly) Oil,2,tbs
,Methi seeds,0.5,tsp
,Mustard seeds,1,tsp
,Urad dal,1,tsp
,Jeera,1,tsp
,Hing,0.25,tsp
,Red Chillies,5,g
,Curry leaves,0.5,packets
,Salt,to taste,
,,,
Steps to prepare,,,
1,Rinse the toor dal 2-3 times in water and soak it with 3x water and some hing and a few drops of oil for atleast 1-2 hours,,
2,Pressure cook it with turmeric.  Once the cooker is at full pressure reduce the heat and let it cook for 15 minutes,,
3,"Switch off the flame and let the pressure drop naturally.  Once the pressure drops, open the lid and whisk the cooked dal together until its smooth",,
4,Soak the tamarind in hot water for an hour.  Make pulp and set aside,,
5,"Chop the vegetables:  drumsticks into 2 inches long cuts, peel and cut taro root into 1 inch cubes, tomatoes into 1 inch cubes",,
6,Boil the vegetables in water with turmeric and salt.  Keet it covered and cooking at medium heat.  When half cooked add the tamarind water and half the sambar powder,,
7,"Once the vegetables are soft, add the cooked dal, remaining sambar powder and salt.  Bring to a boil",,
8,Once it starts boiling lower the flame and let it simmer for 5 minutes.  You may leave the pot partially covered but stir occassionally and ensure the sambar doesnt boil over,,
9,"Tempering:  Heat oil in a pan.  Once hot add mustard seeds, urad dal, jeera, methi, hing, dry red chillies and curry leaves",,
10,Add the tempering to the sambar.  Garnish with cilantro,,
,,,
,,,
Recipe,Cabbage Poriyal,,
Ingredients,,,
,Cabbage,750,g
,Coconut oil,4,tsp
,Mustard seeds,1.5,tsp
,Urad dal,2,tsp
,Chana dal,2,tsp
,Curry leaves,0.3,packets
,Hing,0.25,tsp
,Turmeric powder,1,tsp
,Salt,to taste,
,Lemon juice concentrate,1,tsp
,Frozen coconut,100,g
,Red chillies,5,g
,Jeera,2,tsp
Steps to prepare,,,
1,Shred the cabbage in a food processor on the thick slice setting,,
2,"Heat oil in a pot.  Add mustard seeds, urad dal, chana dal, few curry leaves and hing",,
3,"Add shredded cabbage, turmeric and salt to taste.  Saute for 1-2 minutes",,
4,Cover and let it cook on low-medium heat stirring occasionally,,
5,"Prepare the coconut masala by blending the coconut, kashmiri red chillies and jeera into a coarse paste (do not add any water - make this in the food processor)",,
6,if you are making the paste in the vitamix add a little water and make it in small batches,,
7,Add the coconut masala to the cabbage and mix well,,
8,Let it simmer for 2 minutes.  The cabbage should be cooked but should have a slight bite (dont overcook the cabbage),,
,,,
Recipe,Carrot Mung Dal Salad,,
Ingredients,,,
,Carrots,500,g
,Mung Dal,0.75,cup
,Frozen coconut,68,g
,Lemon juice concentrate,3,tbs
,Mustard seeds,1,tsp
,Urad dal,2,tsp
,Green chillies,5,g
,Hing,0.5,tsp
,Curry Leaves,0.5,packets
,Cilantro,0.5,bunches
,Sunflower Oil,6,tsp
,Salt,to taste,
Steps to prepare,,,
1,Remove the frozen grated coconut from the freezer and let it thaw completely,,
2,"Soak the mung dal for 1 hr and then drain the excess water, keep aside in a large mixing bowl. Do not soak dal for more than an hour.",,
3,Grate the carrots in the food processor and mix with the soaked dal,,
4,Clean and finely chop cilantro.  Finely chop green chillies and curry leaves and keep aside,,
5,"Heat oil, add mustard seeds, once they sputter add urad dal, hing .  When urad dal is golden add curry leaves and green chillies",,
6,"Add the coconut, salt, lemon juice, coriander leaves.   Toss and mix evenly and serve",,
,,,
,,,
Recipe,Vegetable Pulav,,
Ingredients,,,
,,,
,Basmati Rice,4,cup
,Water,4,cup
,Salt,to taste,
,Saffron,1,tsp
,Sunflower oil,6,tbs
,Coconut milk,2,cans
,Cinnamon,3,g
,Bay Leaf,6,g
,Cardamom,6,g
,Cloves,3,g
,Green Chillies,6,g
,Vegetables,,
,Ginger,25,g
,Garlic,25,g
,Cauliflower,150,g
,Peas,0.75,cup
,French Green Beans,100,g
,Onion,200,g
,Tomatoes,100,g
,Cilantro,1,bunches
,Mint,1,bunches
,Kasuri Methi,1,tbs
,,,
Steps to Prepare,,,
1,Soak rice for 1/2 hour.  Soak the saffron in 25 ml warm water,,
2,"Slice the onions, chop the tomatoes.  Cut the remaining vegetables in uniform sizes so they cook evenly.  Finely chop the herbs",,
3,"Heat the oil, add whole spices and sliced onions and sautee until the onions are golden brown.  Add ginger, garlic and green chilly paste",,
4,Puree the tomato.  Add the tomato puree and half of the mint and cilantro to the onions and mix,,
