Recipe,Chole Masala,,
Ingredients,,,
,,,
,Chickpeas,2.5,cup
,Chana dal,0.5,cup
,Tomatoes,250,g
,Ginger,25,g
,Salt,to taste,
,Hing,0.3,tsp
,Dry ginger powder,0.5,tsp
,Sunflower oil,1,tbs
,Bay Leaf,1,g
,Jeera,1,tsp
,Chana masala,3,tsp
,Coriander powder,1,tsp
,Garam masala,0.5,tsp
,Kasuri methi,0.25,tsp
,Lemon juice concentrate,3,tsp
,Cilantro,0.25,bunches
,,,
Steps to Prepare,,,
1,Important prep:  Wash, rinse and soak chole (chickpeas), and the chana dal for at least 8 hours,,
2,Boil chole with salt, hing, and ginger powder,,
3,Heat oil in pan, add bay leaf and cumin seeds.  Add ginger paste,,
4,Add chopped tomato (alternatively blend tomatoes in Vitamix and add),,
5,Cook till the tomato dries up,,
6,Add chana masala and coriander powder to tomato and saute well for a few mins,,
7,Add masala to chole and cook on high flame for about 10 minutes till it thickens slightly. Keep stirring while it cooks,,
8,Add half the chopped cilantro while it is still cooking,,
9,Mash some chana to give it thicker consistency and also add boiled water if necessary (consistency of final dish should be semi thick),,
10,Add garam masala, kasuri methi, and first taste. Then add lemon juice based on the taste.,,
11,Garnish with the remaining chopped cilantro,,
,,,
Recipe,Carrot Mung Dal Salad,,
Ingredients,,,
,Carrots,500,g
,Mung Dal,0.75,cup
,Frozen coconut,68,g
,Lemon juice concentrate,2.5,tbs
,Mustard seeds,1,tsp
,Urad dal,2,tsp
,Green chillies,5,g
,Hing,0.25,tsp
,Curry Leaves,0.5,packets
,Cilantro,0.5,bunches
,Salt,to taste,
,,,
Steps to Prepare,,,
1,Remove the frozen grated coconut from the freezer and let it thaw completely,,
2,Soak the mung dal for 1 hr and then drain the excess water, keep aside in a large mixing bowl,,
3,Grate the carrots in the food processor and mix with the soaked dal,,
4,Squeeze the lemon juice and keep aside,,
5,Clean and finely chop cilantro.  Finely chop green chillies and curry leaves and keep aside,,
6,Heat oil, add mustard seeds, once they sputter add urad dal, hing .  When ulad dal is golden add curry leaves and green chillies,,
7,Add the coconut, salt, lemon juice, cilantro.   Toss and mix evenly and serve,,
,,,
Recipe reference:  https://www.youtube.com/watch?v=PruRcttXXNQ ,,,
,,,
Recipe,Langar wali dal,,
Ingredients,,,
,Whole black Urad Dal,1.5,cup
,Chana dal,1.0,cup
,Turmeric powder,1,tsp
,Water,7.5,cup
,Salt,to taste,
,Ghee,3.0,tbs
,Sunflower oil,0.5,tbs
,Jeera,2.0,tsp
,Hing,0.5,tsp
,Turmeric powder,1,tsp
,Red chilly powder,1,tsp
,Bay leaf,5,g
,Ginger,15,g
,Garlic,10,g
,Green chillies,5,g
,Onion,350,g
,Tomatoes,150,g
,Coriander powder,2,tsp
,Cilantro,0.25,bunches
,,,
Steps to Prepare,,,
1,Important prep:  Wash and soak urad dal and chana dal for 4 hours, preferably overnight,,
2,Boil : Add soaked urad and chana dal, water, turmeric, salt to taste and cook in a large pot until soft,,
3,Alternatively you can pressure cook the dal - once cooker is at pressure let it cook for 20 minutes on low flame,,
4,Mash the dal with the back of a spatulla or ladle,,
5,Grate the onions in the food processor; make a puree of the tomatoes in the food processor,,
6,Grind ginger, garlic and green chillies into a coarse paste.  Finely chop the cilantro,,
7,Regular Tempering:  For 90% of the dal make the following tempering with ghee,,
8,Heat ghee in a pot and when hot add bay leaves, cumin and let sizzle.  Add hing,,
9,Add ginger garlic and chilli and saute a few mins till fragrant,,
10,Add onion and saute till golden brown. Add turmeric, red chilly powder, coriander powder and saute for a few seconds,,
11,Add tomateos and saute till the ghee begins to separate.,,
12,Transfer the tempering into the cooked dal mix boil for 10 mins,  garnish with chopped cilantro,,
13,Vegan Tempering:  make the same tempering as the regular version but use oil instead of ghee (for about 10% of the dal),,
,,,
,,,
Recipe,Cucumber Raita,,
Ingredients,,,
,Cucumber,600,g
,Yogurt,2,cup
,Jeera,2,tsp
,Cilantro,0.5,bunches
,Salt,to taste,
,,,
,,,
Steps to Prepare,,,
1,Wash the cucumbers and pat dry.  Grate the cucumbers in the food processor with thick blade.  No need to peel them if we get persian cucumbers,,
2,These persian cucumbers have thin skins so no need to peel.  Once grated leave them aside - dont mix with yogurt ,,
3,Roast the cumin and lightly powder it,,
4,For vegans please keep about 20% of the grated cucumbers aside.  just before serving add salt and roasted cumin powder and a dash of olive oil and mix,,
5,For the regular portion:  Whisk the yogurt and add roasted cumin powder and salt and keep aside.,,
6,Just before serving add the cucumber to the yogurt and mix well.,,
7,Garnish with cilantro and serve,,
,,,
Recipe,Kada Prasad,,
Ingredients,,,
,Whole wheat flour,1.5,cup
,Ghee,1.5,cup
,Sugar,1.5,cup
,Water,1.5,cup
,,,
Steps to Prepare,,,
1,Melt the ghee in a kadai/wok.  Note that ghee and sugar are 1-1, and flour and water are 1-1 in volume but not in weight.,,
2,Please follow the weights as listed in the recipe above,,
3,Add wheat flour and cook till dark golden and aromatic on low flame.  Add water and mix well and keep stirring so lumps arent formed,,
4,Remember that since you will cook a large quantity add the water before reaching the final desired color as the residual heat will continue ,,
5,Add sugar and mix properly.  Cook till everything comes together and Prasad starts leaving ghee,,
6,to bring additional color.  Watch the recipe below..,,
7,Serve warm,,
,,,
Recipe reference links:,https://ranveerbrar.com/recipes/kada-prasad/,,
,,,
,,,
Recipe,Aloo french beans sabzi,,
Ingredients,,,
,French Green Beans,800,g
,Potato,400,g
,Green chillies,5,g
,Garlic,10,g
,Ginger,10,g
,Mustard Oil,4,tbs
,Mustard seeds,1,tsp
,Jeera,1,tsp
,Red chillies,1,g
,Hing,0.5,tsp
,Curry leaves,0.1,packets
,Salt,to taste,
,Black salt,1,g
,Black pepper,1,tsp
,Turmeric Powder,1,tsp
,Garam masala,1,tsp
,Lemon juice concentrate,2,tsp
,Cilantro,0.5,bunches
,,,
,,,
Steps to Prepare,,,
1,Wash the beans & pat them dry, then cut the tops and the bottom slightly & chop them into 1-2 cm pieces,,
2,Cut the peeled potatoes into small cubes.  Make a coarse past of ginger, garlic & green chillies (okay to skip garlic if you'd like),,
3,Set a pot over high flame, add the mustard oil.  Let it heat up until it reaches its smoking point.  Then lower the flame & let the oil cool down slightly.,,
4,Add mustard & cumin seeds, red chilli, asafoetida, curry leaves & the ginger garlic paste, stir well & cook briefly,,
5,Next, add the diced potatoes, stir well & cook over high flame for 1-2 minutes, then cover & cook over low flame until the potatoes get 85% cooked,,
6,Take the lid off & stir the potatoes at intervals for about 6-8 minutes,,
7,Once the potatoes are 90% cooked, add the beans along with salt, black salt, black pepper & turmeric powder,,
8,Stir well then cover & cook over low flame for 5-6 minutes or until the beans get cooked.  Dont overcook the beans - the texture of the beans should be slightly crunchy,,
9,Give it a stir 2-3 times while cooking just to ensure that the potatoes don’t stick to the bottom.,,
10,Once cooked, add garam masala, lemon juice & fresh cilantro and mix everything properly,,
,,,
Reference:,https://www.youtube.com/watch?v=chSO4P_UBV8,,
,,,
Recipe,Mexican Rice,,
Ingredients,,,
,,,
,Basmati Rice,2.5,cup
,Sunflower Oil,3,tbs
,Garlic,20,g
,Onion,200,g
,Tomato paste,6,tsp
