Recipe,Carrot Mung Dal Salad,,
Ingredients,,,
,Carrots,500,g
,Mung Dal,0.75,cup
,Frozen coconut,68,g
,Lemon juice concentrate,2.5,tbs
,Mustard seeds,1,tsp
,Urad dal,2,tsp
,Green chillies,5,g
,Hing,0.25,tsp
,Curry Leaves,0.5,packets
,Cilantro,0.5,bunches
,Salt,to taste,
,,,
Steps to Prepare,,,
1,Remove the frozen grated coconut from the freezer and let it thaw completely,,
2,"Soak the mung dal for 1 hr and then drain the excess water, keep aside in a large mixing bowl",,
3,Grate the carrots in the food processor and mix with the soaked dal,,
4,Squeeze the lemon juice and keep aside,,
5,Clean and finely chop cilantro.  Finely chop green chillies and curry leaves and keep aside,,
6,"Heat oil, add mustard seeds, once they sputter add urad dal, hing .  When ulad dal is golden add curry leaves and green chillies",,
7,"Add the coconut, salt, lemon juice, cilantro.   Toss and mix evenly and serve",,
,,,
Recipe reference: , https://www.youtube.com/watch?v=PruRcttXXNQ ,,
,,,
