Chai,,,
Ingredients,,,
,Water,5.0,cup
0,Milk,2.0,cup
0,Ginger,10.7,g
0,Cardamom,1.6,g
0,Loose leaf tea,14.9,g
0,Chai Masala,1.6,g
0,Mint,0.01,bunches
0,Lemongrass,1.6,g
,,,
Steps to prepare,,,
1,"Take one  big vessel for the above mentioned quantities. If not, divide it into two small pots.",,
2,"Boil water with ginger, chai masala and mint leaves. Let it boil for good 10 minutes. Then add chai patti and let it boil for 5 minutes.",,
3,"Add Milk and just before it comes to boil add lemongrass, cardamom powder. Let it all boil together for 10 minutes and it’s ready to serve.",,
,,,
Rice (Basmati),,,
Ingredients,,,
0,Basmati Rice,2.5,cup
,Water,5,cup
,Salt,to taste,
,,,
,,,
Steps to Prepare,,,
Rice cooker  (can make 5kg raw rice in one go),,,
,,,
1,Wash the rice 3-4 times and soak it in measured fresh water for 1 hour in the rice cooker,,
2,Set the rice cooker to cook 1.5 hours before you need to serve the rice,,
3,"takes approx 1 hour to cook the rice, so time according to when it needs to be served",,
,,,
,,,
Open pot cooking (for the remaining quantity),,,
1,Plan this 2.5 hours before meal time,,
2,Soak rice in a pot for an hour with the measured quantity of water (usually 2x),,
3,Start cooking the rice approx 1.5 hours before you need to serve it,,
4,"let the rice cook uncovered.  Once most of the water is absorbed, close the lid and lower the flame",,
5,Cook exactly for 15 minutes (set a timer).  At the end of 15 minutes switch off the flame.  Do not open the lid,,
6,Let it sit for 30 min before you open and turn the rice for serving,,
,,,
,,,
Jeera Rice,,,
Ingredients,,,
0,Basmati Rice,2.5,cup
,Water,5,cup
0,Sunflower Oil,2,tbs
0,Salt,to taste,
0,Jeera,3,tbs
0,Bay leaf,5,g
,,,
,,,
Steps to Prepare:  Open Pot Method,,,
0,Wash the basmati rice and drain.  Do not let it sit for long as the grain will break when you saute it.,,
1,Heat oil in a pot.  Add jeera and bay leaf and saute.  Add the washed basmati rice to it and salt.  Mix properly and saute for 4-5 minutes,,
2,Add 2x water and mix.  Bring the mixture to a boil.  Lower the heat and let it cook on medium-low heat until the surface water is absorbed,,
3,"Cover the pot with a lid, reduce heat to low and let it cook for 15 minutes (Set a timer).  Switch off the flame and let it sit for another 15 minutes.",,
4,Open when ready to serve.  Overall this will take about 1.5 hours to cook,,
,,,
,,,
Rice (Ambe Mor),,,
Ingredients,,,
0,Ambe Mor Rice,2.5,cup
0,Sunflower oil,1.0,tsp
,Water,5.0,cup
,Salt,to taste,
,,,
,,,
Steps to Prepare in Rice cooker (can make 5kg rice in one go),,,
1,Plan this 2.5 hours before meal time,,
2,Soak rice in a pot for an hour with the measured quantity of water (usually 2x),,
3,Add salt and oil to the soaked rice and start cooking the rice approx 1.5 hours before you need to serve it,,
4,"let the rice cook uncovered.  Once most of the water is absorbed, close the lid and lower the flame",,
5,Cook exactly for 15 minutes (set a timer).  At the end of 15 minutes switch off the flame.  Do not open the lid,,
6,Let it sit for 30 min before you open and turn the rice for serving,,
,,,
,,,
Rice (Kerala Matta),,,
Ingredients,,,
0,Kerala Matta Rice,3.5,cup
,Water,8.8,cup
0,Sunflower Oil,1,tsp
,Salt,to taste,
,,,
Steps to Prepare,,assume we need 2.5x water to rice.  please check to see if we need to add a bit more water depending on age of rice,
,,,
Rice cooker  (can make 4kg Red Rice in one go),,,
1,Wash the rice 3-4 times and soak it in measured fresh water for 3.5 hours in the rice cooker,,
2,Add 2 tbsp oil and set the rice cooker to cook 1.5 hours before you need to serve it,,
3,"takes approx 1 hour to cook the rice, so time according to when it needs to be served",,
,,,
Open pot cooking (for the remaining quantity),,,
1,Plan this 4 hours before meal time.  Soak rice in a pot for 3.5 hours with the measured quantity of water,,
2,Start cooking the rice approx 2 hours before you need to serve it.  Add 2 tbsp oil while cooking,,
3,"let the rice cook uncovered.  Once most of the water is absorbed, close the lid and lower the flame.  Cook for 15 minutes and switch off the flame",,
4,Let it sit for 30 min before you open and turn the rice for serving,,
,,,
,,,
Rice (Sona  Masoori),,0,0
Ingredients,,,
0,Sona Masoori Rice,2.5,cup
,Water,7.5,cup
,Salt,to taste,
,,,
,,,
Steps to Prepare,,,
Rice cooker  (can make 5 kg raw rice in one go),,,
,,,
1,Wash the rice 3-4 times and soak it in measured fresh water for 1 hour in the rice cooker,,
2,Set the rice cooker to cook 1.5 hours before you need to serve the rice,,
3,"takes approx 1 hour to cook the rice, so time according to when it needs to be served",,
,,,
,,,
Open pot cooking (for the remaining quantity),,,
1,Plan this 2.5 hours before meal time,,
2,Soak rice in a pot for an hour with the measured quantity of water (usually 2x),,
3,Start cooking the rice approx 1.5 hours before you need to serve it,,
4,"let the rice cook uncovered.  Once most of the water is absorbed, close the lid and lower the flame",,
5,Cook exactly for 15 minutes (set a timer).  At the end of 15 minutes switch off the flame.  Do not open the lid,,
6,Let it sit for 30 min before you open and turn the rice for serving,,
,,,
,,,
Oatmeal with Toppings,,,
Ingredients,,,
,,,
,Rolled Oats,1.5,cup
,Water,4.5,cup
,Almonds,50,g
,Pecans,50,g
,Raisins,50,g
,Maple syrup,25,ml
,Ghee,2,tbs
,Chutney podi,20,g
,,,
,,,
,,,
,,,
Steps to Prepare,,,
1,Bring a water to a rolling boil.  Important step to ensure that the oatmeal doesnt have a gooey texture,,
2,Add Oats and let the oats cook on medium heat,,
3,Add a dash of salt and turn to a simmer until cooked through.  Add more water if the oatmeal is too thick,,
3,Serve with toppings on the side that people can help themselves with,,
4,"Sweet toppings include bananas, almonds, pecans, maple syrup",,
5,"savory toppings include chutney podi, ghee and gingelly oil",,
,,,
,,,
Sprouted Moong with Khakra,,8,people
Ingredients,,,
,Whole Green Mung,2,cup
,Turmeric Powder,1,tsp
,Coconut oil,1,tbs
,Ghee,2,tbs
,Mustard Seeds,1,tsp
,Jeera,1,tsp
,Hing,0.25,tsp
,Red chilly powder,0.5,tsp
,Coriander powder,1,tsp
,Lemon juice concentrate,2,tbs
,Cilantro,0.25,bunches
,Khakra,8,pieces
,Salt,to taste,
,Water,6,cup
,,,
Steps to Prepare,,,
1,"Important Prep:  Wash and soak the moong for about 8 hours.  Drain the water, cover it with a piece of cloth to let them sprout",,
2,Take a large pot and transfer the sprouted moong and about 2x the amount of water.  Add salt and turmeric and let it cook partially covered,,
3,"Once the moong has cooked, remove about 20% of it aside to make a tadka with coconut oil.  Rest will have seasoning with ghee",,
4,"Vegan:  In a pan heat up coconut oil.  When hot add mustard seeds, jeera, hing, little turmeric, coriander powder, some cilantro",,
5,"      Switch off the flame, add red chilly powder and mix.  Add the seasoning to the vegan portion of the cooked moong",,
6,"For the regular seasoning make it the same style as vegan, except use ghee instead of coconut oil",,
7,Add lemon juice and cilantro and mix well.  Adjust for salt and the moong are ready to serve,,
8,Serve with khakra on the side - this type of breakfast is consumed in rajasthan / kutch region of india,,
,,,
,,,
Jasmine Rice,,,
Ingredients,,,
0,Jasmine Rice,4,cup
,Water,5.32,cup
0,Sunflower Oil,1,tsp
,Salt,to Taste,
,,,
Steps to Prepare,,,
Rice cooker  (can make 7 kg raw rice in one go),,,
0,Wash the rice 3-4 times and add measured fresh water,,
1,Add 2 tbsp oil and set the rice cooker to cook 1.5 hours before you need to serve it,,
2,"takes approx 1 hour to cook the rice, so time according to when it needs to be served",,
,,,
Open pot cooking (for the remaining quantity),,,
1,Wash the rice 3-4 times and add measured fresh water,,
2,Start cooking the rice approx 1.5 hours before you need to serve it.  Add 2 tbsp oil while cooking,,
3,"let the rice cook uncovered on medium heat.  Once most of the water is absorbed, close the lid and lower the flame",,
4,Cook exactly for 15 minutes (set a timer).  At the end of 15 minutes switch off the flame.  Do not open the lid,,
,,,
,,,
